filename,width,height,class,xmin,ymin,xmax,ymax
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,180,101,192,114
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,200,103,217,115
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,376,109,397,124
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,474,109,495,129
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,286,118,303,129
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,198,122,214,135
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,404,133,417,143
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,306,140,321,153
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,17,142,35,154
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,0,9,19,24
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,272,156,288,174
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,323,163,351,178
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,41,170,60,180
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,235,168,252,183
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,439,181,457,193
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,271,0,286,5
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,368,206,386,220
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,85,211,96,220
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,296,16,311,28
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,497,213,512,237
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,488,15,503,32
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,180,224,204,240
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,482,230,492,235
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,389,230,410,246
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,373,236,386,250
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,501,247,511,258
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,28,252,43,267
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,327,254,339,269
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,117,255,142,277
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,371,266,392,282
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,433,276,447,292
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,42,278,60,290
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,147,288,165,299
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,250,293,267,307
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,408,303,424,316
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,203,24,219,38
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,69,305,80,317
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,450,304,468,319
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,360,301,382,323
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,473,326,487,340
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,277,27,295,41
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,pchac,392,339,407,355
repa_trn_23_4598962_2920951_png.rf.12e714223c50cb73f611e62b276f32f1.jpg,512,512,repa,112,28,132,43
